Ammonia
Phosphate-phosphorus
Kjeldahl nitrogen
Inorganic nitrogen (nitrate and nitrite)
pH
"Temperature, water"
Organic carbon
Total suspended solids
"Temperature, air"
Turbidity
Chlorophyll a
Total solids
Carbon
Ammonia and ammonium
Nitrate
Nitrite
Hydrogen ion
Oxygen
