ActivityIdentifier
ActivityStartDate
ActivityStartTime/Time
ActivityStartTime/TimeZoneCode
ActivityEndDate
ActivityEndTime/Time
ActivityEndTime/TimeZoneCode
ActivityDepthHeightMeasure/MeasureValue
ActivityDepthHeightMeasure/MeasureUnitCode
ActivityDepthAltitudeReferencePointText
MonitoringLocationIdentifier
SampleCollectionMethod/MethodIdentifier
CharacteristicName
ResultSampleFractionText
ResultMeasureValue
ResultMeasure/MeasureUnitCode
ResultAnalyticalMethod/MethodIdentifier
ResultAnalyticalMethod/MethodIdentifierContext
ResultAnalyticalMethod/MethodName
ProviderName
